Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
  166   Anas undulata                 Yellow-billed Duck      Gulnäbbad and
  167   Anas poecilorhyncha           Spot-billed Duck        Fläcknäbband
  168   Anas superciliosa             Pacific Black Duck      Stillahavssvartand
  169   Anas luzonica                 Philippine Duck         Filippinand
  170   Anas specularis               Bronze-winged Duck      Bronsvingad and
  171   Anas specularioides           Crested Duck            Tofsand
  172   Anas acuta                    Northern Pintail        Stjärtand
  173   Anas eatoni                   Eaton's Pintail         Kerguelenand
  174   Anas georgica                 Yellow-billed Pintail   Gulnäbbad stjärtand
  175   Anas bahamensis               White-cheeked Pintail   Bahamaand
  176   Anas erythrorhyncha           Red-billed Teal         Rödnäbbad and
  177   Anas versicolor               Silver Teal             Silverand
  178   Anas puna                     Puna Teal               Punaand
  179   Anas hottentota               Hottentot Teal          Hottentotkricka
  180   Anas querquedula              Garganey                Årta
  181   Anas discors                  Blue-winged Teal        Blåvingad årta
  182   Anas cyanoptera               Cinnamon Teal           Kanelårta
  183   Anas platalea                 Red Shoveler            Sydamerikansk skedand
  184   Anas smithii                  Cape Shoveler           Kapskedand
  185   Anas rhynchotis               Australian Shoveler     Australisk skedand
  186   Anas clypeata                 Northern Shoveler       Skedand
  187   Malacorhynchus membranaceus   Pink-eared Duck         Zebraand
  188   Marmaronetta angustirostris   Marbled Duck            Marmorand
  189   Netta rufina                  Red-crested Pochard     Rödhuvad dykand
  190   Netta erythrophthalma         Southern Pochard        Sydlig brunand
  191   Netta peposaca                Rosybill                Peposacaand
  192   Aythya valisineria            Canvasback              Svartnäbbad brunand
  193   Aythya ferina                 Common Pochard          Brunand
  194   Aythya americana              Redhead                 Amerikansk brunand
  195   Aythya collaris               Ring-necked Duck        Ringand
  196   Aythya australis              Hardhead                Australisk dykand
  197   Aythya baeri                Baer's Pochard           Amurdykand
  198   Aythya nyroca               Ferruginous Duck         Vitögd dykand
  199   Aythya innotata             Madagascar Pochard       Madagaskarbrunand
  200   Aythya fuligula             Tufted Duck              Vigg
  201   Aythya novaeseelandiae      New Zealand Scaup        Nya Zeelandbergand
  202   Aythya marila               Greater Scaup            Bergand
  203   Aythya affinis              Lesser Scaup             Mindre bergand
  204   Somateria mollissima        Common Eider             Ejder
  205   Somateria spectabilis       King Eider               Praktejder
  206   Somateria fischeri          Spectacled Eider         Glasögonejder
  207   Polysticta stelleri         Steller's Eider          Alförrädare
  208   Histrionicus histrionicus   Harlequin Duck           Strömand
  209   Clangula hyemalis           Long-tailed Duck         Alfågel
  210   Melanitta nigra             Common Scoter            Sjöorre
  211   Melanitta americana         American Scoter          Amerikansk sjöorre
  212   Melanitta perspicillata     Surf Scoter              Vitnackad svärta
  213   Melanitta fusca             Velvet Scoter            Svärta
  214   Melanitta deglandi          White-winged Scoter      Knölsvärta
  215   Bucephala albeola           Bufflehead               Buffelhuvud
  216   Bucephala islandica         Barrow's Goldeneye       Islandsknipa
  217   Bucephala clangula          Common Goldeneye         Knipa
  218   Mergus cucullatus           Hooded Merganser         Kamskrake
  219   Mergus albellus             Smew                     Salskrake
  220   Mergus octosetaceus         Brazilian Merganser      Amazonskrake
  221   Mergus serrator             Red-breasted Merganser   Småskrake
  222   Mergus squamatus            Chinese Merganser        Amurskrake
  223   Mergus merganser            Goosander                Storskrake
  224   Heteronetta atricapilla     Black-headed Duck        Svarthuvad and
  225   Nomonyx dominica            Masked Duck              Vitvingad kopparand
  226   Oxyura jamaicensis          Ruddy Duck               Amerikansk kopparand
  227   Oxyura ferruginea           Peruvian Ruddy Duck      Perukopparand
  228   Oxyura leucocephala         White-headed Duck        Kopparand
  229   Oxyura maccoa               Maccoa Duck              Afrikansk kopparand
  230   Oxyura vittata             Argentine Blue-bill           Argentinsk kopparand
  231   Oxyura australis           Blue-billed Duck              Australisk kopparand
  232   Biziura lobata             Musk Duck                     Bisamand
  233                              Megapodiidae, Storfotshöns
  234   Megapodius freycinet       Dusky Scrubfowl               Australisk storfothöna
  235   Megapodius geelvinkianus   Biak Scrubfowl                Geelvinkstorfothöna
  236   Megapodius nicobariensis   Nicobar Scrubfowl             Nikobarstorfothöna
  237   Megapodius cumingii        Philippine Scrubfowl          Tabonstorfothöna
  238   Megapodius bernsteinii     Sula Scrubfowl                Sulastorfothöna
  239   Megapodius decollatus      New Guinea Scrubfowl          Papuansk storfothöna
  240   Megapodius reinwardt       Orange-footed Scrubfowl       Orangefotad storfothöna
  241   Megapodius tenimberensis   Tanimbar Scrubfowl            Tanimbarstorfothöna
  242   Megapodius forstenii       Forsten's Scrubfowl           Forstens storfothöna
  243   Megapodius eremita         Melanesian Scrubfowl          Melanesisk storfothöna
  244   Megapodius layardi         Vanuatu Scrubfowl             Vanuatustorfothöna
  245   Megapodius laperouse       Micronesian Scrubfowl         Palaustorfothöna
  246   Megapodius pritchardii     Niuafoou Scrubfowl            Vulkanstorfotshöna
  247   Eulipoa wallacei           Moluccan Scrubfowl            Moluckstorfothöna
  248   Leipoa ocellata            Malleefowl                    Malleehöna
  249   Alectura lathami           Australian Brush-Turkey       Buskhöna
  250   Talegalla cuvieri          Red-billed Brush-Turkey       Talegallahöna
  251   Talegalla fuscirostris     Black-billed Brush-Turkey     Svartnäbbad buskhöna
  252   Talegalla jobiensis        Brown-collared Brush-Turkey   Brunhalsad buskhöna
  253   Aepypodius arfakianus      Wattled Brush-Turkey          Kambuskhöna
  254   Aepypodius bruijnii        Waigeo Brush-Turkey           Waigeobuskhöna
  255   Macrocephalon maleo        Maleo                         Maleohöna
  256                              Cracidae, Hockohöns
  257   Ortalis   vetula           Plain Chachalaca              Nordlig chachalaca
  258   Ortalis   cinereiceps      Grey-headed Chachalaca        Gråhuvad chachalaca
  259   Ortalis   garrula          Chestnut-winged Chachalaca    Brunvingad chachalaca
  260   Ortalis   ruficauda        Rufous-vented Chachalaca      Rostgumpad chachalaca
  261   Ortalis   erythroptera     Rufous-headed Chachalaca      Rosthuvad chachalaca
  262   Ortalis   wagleri          Rufous-bellied Chachalac      Rostbukad chachalaca
  263   Ortalis poliocephala     West Mexican Chachalaca     Västmexikansk chachalaca
  264   Ortalis canicollis       Chaco Chachalaca            Gråhalsa chachalaca
  265   Ortalis leucogastra      White-bellied Chachalaca    Vitbukad chachalaca
  266   Ortalis motmot           Little Chachalaca           Motmotchachalaca
  267   Ortalis superciliaris    Buff-browed Chachalaca      Beigebrynad chachalaca
  268   Ortalis guttata          Speckled Chachalaca         Spräcklig chachalaca
  269   Penelope argyrotis       Band-tailed Guan            Bandstjärtad guan
  270   Penelope barbata         Bearded Guan                Skägguan
  271   Penelope montagnii       Andean Guan                 Andinsk guan
  272   Penelope ortoni          Baudó Guan                  Baudóguan
  273   Penelope marail          Marail Guan                 Marailguan
  274   Penelope superciliaris   Rusty-margined Guan         Blåkindad guan
  275   Penelope dabbenei        Red-faced Guan              Rödkindad guan
  276   Penelope obscura         Dusky-legged Guan           Mörkbent guan
  277   Penelope jacquacu        Spix's Guan                 Spixguan
  278   Penelope albipennis      White-winged Guan           Vitvingad guan
  279   Penelope perspicax       Cauca Guan                  Caucaguan
  280   Penelope purpurascens    Crested Guan                Tofsguan
  281   Penelope jacucaca        White-browed Guan           Vitbrynad guan
  282   Penelope ochrogaster     Chestnut-bellied Guan       Rostbukad guan
  283   Penelope pileata         White-crested Guan          Vitkronad guan
  284   Pipile pipile            Trinidad Piping-Guan        Trinidadpipguan
  285   Pipile cumanensis        Blue-throated Piping-Guan   Blåstrupig pipguan
  286   Pipile cujubi            Red-throated Piping-Guan    Rödstrupig pipguan
  287   Pipile jacutinga         Black-fronted Piping-Guan   Svartpannad pipguan
  288   Aburria aburri           Wattled Guan                Flikguan
  289   Chamaepetes unicolor     Black Guan                  Svart guan
  290   Chamaepetes goudotii     Sickle-winged Guan          Blåmaskad guan
  291   Penelopina nigra         Highland Guan               Bergsguan
  292   Oreophasis derbianus     Horned Guan                 Hornguan
  293   Nothocrax urumutum       Nocturnal Curassow          Natthocko
  294   Mitu tomentosum          Crestless Curassow          Släthuvad hocko
  295   Mitu salvini             Salvin's Curassow           Salvins hocko
  296   Mitu tuberosum               Razor-billed Curassow        Knivhocko
  297   Mitu mitu                    Alagoas Curassow             Alagoashocko
  298   Pauxi pauxi                  Northern Helmeted Curassow   Nordlig hjälmhocko
  299   Pauxi unicornis              Southern Helmeted Curassow   Sydlig hjälmhocko
  300   Crax rubra                   Great Curassow               Större hocko
  301   Crax alberti                 Blue-billed Curassow         Blånäbbad hocko
  302   Crax daubentoni              Yellow-knobbed Curassow      Gulknölshocko
  303   Crax alector                 Black Curassow               Svart hocko
  304   Crax globulosa               Wattled Curassow             Gulflikig hocko
  305   Crax fasciolata              Bare-faced Curassow          Gulnäbbad hocko
  306   Crax blumenbachii            Red-billed Curassow          Rödnäbbad hocko
  307                                Meleagrididae, Kalkoner
  308   Meleagris gallopavo          Wild Turkey                  Kalkon
  309   Meleagris ocellata           Ocellated Turkey             Arguskalkon
  310                                Tetraonidae, Skogshöns
  311   Falcipennis falcipennis      Siberian Grouse              Amurjärpe
  312   Falcipennis canadensis       Spruce Grouse                Granjärpe
  313   Dendragapus obscurus         Blue Grouse                  Blåjärpe
  314   Lagopus lagopus              Willow Ptarmigan             Dalripa
  315   Lagopus muta                 Rock Ptarmigan               Fjällripa
  316   Lagopus leucura              White-tailed Ptarmigan       Vitstjärtad ripa
  317   Tetrao mlokosiewiczi         Caucasian Black Grouse       Kaukasisk orre
  318   Tetrao tetrix                Black Grouse                 Orre
  319   Tetrao parvirostris          Black-billed Capercaillie    Svartnäbbad tjäder
  320   Tetrao urogallus             Western Capercaillie         Tjäder
  321   Bonasa sewerzowi             Chinese Grouse               Kinajärpe
  322   Bonasa bonasia               Hazel Grouse                 Järpe
  323   Bonasa umbellus              Ruffed Grouse                Kragjärpe
  324   Centrocercus urophasianus    Greater Sage-Grouse          Strålstjärtshöna
  325   Centrocercus minimus         Gunnison Sage-Grouse         Mindre prärieorre
  326   Tympanuchus phasianellus     Sharp-tailed Grouse          Spetsstjärtad präriehöna
  327   Tympanuchus cupido           Greater Prairie-chicken      Större präriehöna
  328   Tympanuchus pallidicinctus   Lesser Prairie-chicken       Mindre präriehöna
  329                              Odontophoridae, Tofsvaktlar
  330   Dendrortyx barbatus        Bearded Wood-Partridge         Rostbröstad skogshöna
  331   Dendrortyx macroura        Long-tailed Wood-Partridge     Långstjärtad skogshöna
  332   Dendrortyx leucophrys      Buffy-crowned Wood-Partridge   Vitpannad skogshöna
  333   Oreortyx pictus            Mountain Quail                 Bergtofsvaktel
  334   Callipepla squamata        Scaled Quail                   Fjällig tofsvaktel
  335   Callipepla californica     California Quail               Kalifornisk tofsvaktel
  336   Callipepla gambelii        Gambel's Quail                 Ökentofsvaktel
  337   Callipepla douglasii       Elegant Quail                  Prakttofsvaktel
  338   Philortyx fasciatus        Banded Quail                   Bandvaktel
  339   Colinus virginianus        Northern Bobwhite              Vitstrupig vaktel
  340   Colinus nigrogularis       Black-throated Bobwhite        Svartstrupig vaktel
  341   Colinus leucopogon         Spot-bellied Bobwhite          Fläckbukad vaktel
  342   Colinus cristatus          Crested Bobwhite               Kronvaktel
  343   Odontophorus gujanensis    Marbled Wood-Quail             Marmorvaktel
  344   Odontophorus capueira      Spot-winged Wood-Quail         Fläckvingad marmorvaktel
  345   Odontophorus erythrops     Rufous-fronted Wood-Quail      Rödpannad marmorvaktel
  346   Odontophorus melanotis     Black-eared Wood-Quail         Svartstrupig marmorvaktel
  347   Odontophorus atrifrons     Black-fronted Wood-Quail       Svartpannad marmorvaktel
  348   Odontophorus melanonotus   Dark-backed Wood-Quail         Mörkryggad marmorvaktel
  349   Odontophorus hyperythrus   Chestnut Wood-Quail            Svartfläckig marmorvaktel
  350   Odontophorus speciosus     Rufous-breasted Wood-Quail     Rödbröstad marmorvaktel
  351   Odontophorus strophium     Gorgeted Wood-Quail            Colombiansk marmorvaktel
  352   Odontophorus dialeucos     Tacarcuna Wood-Quail           Svartkronad marmorvaktel
  353   Odontophorus columbianus   Venezuelan Wood-Quail          Venezuelamarmorvaktel
  354   Odontophorus leucolaemus   Black-breasted Wood-Quail      Vitstrupig marmorvaktel
  355   Odontophorus balliviani    Stripe-faced Wood-Quail        Strimhuvad marmorvaktel
  356   Odontophorus stellatus     Starred Wood-Quail             Stjärnmarmorvaktel
  357   Odontophorus guttatus      Spotted Wood-Quail             Fläckig marmorvaktel
  358   Dactylortyx thoracicus     Singing Quail                  Sångvaktel
  359   Cyrtonyx montezumae        Montezuma Quail                Montezumavaktel
  360   Cyrtonyx ocellatus         Ocellated Quail                Glasögonvaktel
  361   Rhynchortyx cinctus        Tawny-faced Quail              Orangekindad vaktel
  362                               Phasianidae, Fasanfåglar
  363   Lerwa lerwa                 Snow Partridge                Sherpahöna
  364   Ammoperdix griseogularis    See-see Partridge             Visselhöna
  365   Ammoperdix heyi             Sand Partridge                Ökenhöna
  366   Tetraogallus caucasicus     Caucasian Snowcock            Kaukasisk snöhöna
  367   Tetraogallus caspius        Caspian Snowcock              Kaspisk snöhöna
  368   Tetraogallus tibetanus      Tibetan Snowcock              Tibetsnöhöna
  369   Tetraogallus altaicus       Altai Snowcock                Altaisnöhöna
  370   Tetraogallus himalayensis   Himalayan Snowcock            Himalayasnöhöna
  371   Tetraophasis obscurus       Verreaux's Monal Partridge    Brunstrupig kungshöna
  372   Tetraophasis szechenyii     Széchenyi's Monal Partridge   Gulstrupig kungshöna
  373   Alectoris graeca            Rock Partridge                Stenhöna
  374   Alectoris chukar            Chukar Partridge              Berghöna
  375   Alectoris magna             Rusty-necklaced Partridge     Lössberghöna
  376   Alectoris philbyi           Philby's Rock Partridge       Svartstrupig berghöna
  377   Alectoris barbara           Barbary Partridge             Klipphöna
  378   Alectoris rufa              Red-legged Partridge          Rödhöna
  379   Alectoris melanocephala     Arabian Partridge             Arabisk rödhöna
  380   Anurophasis monorthonyx     Snow Mountain Quail           Iriansk berghöna
  381   Francolinus francolinus     Black Francolin               Svart frankolin
  382   Francolinus pictus          Painted Francolin             Drottfläckig frankolin obs
  383   Francolinus pintadeanus     Chinese Francolin             Kinesisk frankolin
  384   Francolinus pondicerianus   Grey Francolin                Grå frankolin
  385   Francolinus gularis         Swamp Francolin               Kärrfrankolin
  386   Peliperdix coqui            Coqui Francolin               Coquifrankolin
  387   Peliperdix albogularis      White-throated Francolin      Vitstrupig frankolin
  388   Peliperdix schlegelii       Schlegel's Francolin          Schlegels frankolin
  389   Peliperdix lathami          Forest Francolin              Skogsfrankolin
  390   Peliperdix sephaena         Crested Francolin             Tofsfrankolin
  391   Scleroptila streptophorus   Ring-necked Francolin         Halsbandsfrankolin
  392   Scleroptila finschi         Finsch's Francolin            Finschs frankolin
  393   Scleroptila levaillantii    Red-winged Francolin          Rödvingad frankolin
  394   Scleroptila afra            Grey-winged Francolin         Gråvingad frankolin
  395   Scleroptila psilolaemus       Moorland Francolin            Etiopisk frankolin
  396   Scleroptila shelleyi          Shelley's Francolin           Shelleys frankolin
  397   Scleroptila levaillantoides   Orange River Francolin        Cunenefrankolin
  398   Scleroptila gutturalis        Archer's Francolin            Archers frankolin
  399   Pternistis nahani             Nahan's Francolin             Nahanifrankolin
  400   Pternistis hartlaubi          Hartlaub's Francolin          Hartlaubs frankolin
  401   Pternistis bicalcaratus       Double-spurred Francolin      Marockansk frankolin
  402   Pternistis icterorhynchus     Heuglin's Francolin           Gulnäbbad frankolin
