Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
 4183   Pseudocalyptomena graueri   African Green Broadbill      Grauers brednäbb
 4184   Corydon sumatranus          Dusky Broadbill              Mörk brednäbb
 4185   Cymbirhynchus macrorhynchos Black-and-red Broadbill      Svartröd brednäbb
 4186   Eurylaimus javanicus        Banded Broadbill             Bandbrednäbb
 4187   Eurylaimus ochromalus       Black-and-yellow Broadbill   Svartgul brednäbb
 4188   Eurylaimus steerii          Mindanao Wattled Broadbill   Mindanaobrednäbb
 4189   Eurylaimus samarensis       Visayan Wattled Broadbill    Samarbrednäbb
 4190   Serilophus lunatus            Silver-breasted Broadbill         Silverbröstad brednäbb
 4191   Psarisomus dalhousiae         Long-tailed Broadbill             Långstjärtad brednäbb
 4192   Calyptomena viridis           Green Broadbill                   Mindre smaragdbrednäbb
 4193   Calyptomena hosii             Hose's Broadbill                  Blåbröstad smaragdbrednäbb
 4194   Calyptomena whiteheadi        Whitehead's Broadbill             Svartstrupig smaragdbrednäbb
 4195                                 Dendrocolaptidae, Trädklättrare
 4196   Dendrocincla tyrannina        Tyrannine Woodcreeper             Tyrannträdklättrare
 4197   Dendrocincla fuliginosa       Plain-brown Woodcreeper           Sepiaträdklättrare
 4198   Dendrocincla turdina          Plain-winged Woodcreeper          Trastträdklättrare
 4199   Dendrocincla anabatina        Tawny-winged Woodcreeper          Rostvingad trädklättrare
 4200   Dendrocincla merula           White-chinned Woodcreeper         Vithakad trädklättrare
 4201   Dendrocincla homochroa        Ruddy Woodcreeper                 Rostträdklättrare
 4202   Deconychura longicauda        Long-tailed Woodcreeper           Långstjärtad trädklättrare
 4203   Deconychura stictolaema       Spot-throated Woodcreeper         Fläckstrupig trädklättrare
 4204   Sittasomus griseicapillus     Olivaceous Woodcreeper            Gråhuvad trädklättrare
 4205   Glyphorynchus spirurus        Wedge-billed Woodcreeper          Kilnäbbsträdklättrare
 4206   Drymornis bridgesii           Scimitar-billed Woodcreeper       Sabelnäbbsträdklättrare
 4207   Nasica longirostris           Long-billed Woodcreeper           Långnäbbad trädklättrare
 4208   Dendrexetastes rufigula       Cinnamon-throated Woodcreeper     Kanelträdklättrare
 4209   Hylexetastes perrotii         Red-billed Woodcreeper            Rödnäbbad trädklättrare
 4210   Hylexetastes uniformis        Uniform Woodcreeper               Enfärgad trädklättrare
 4211   Hylexetastes stresemanni      Bar-bellied Woodcreeper           Bukbandad trädklättrare
 4212   Hylexetastes brigidai         Brigida's Woodcreeper             Paráträdklättrare
 4213                                 Strong-billed Woodcreeper
        Xiphocolaptes promeropirhynchus                                 Stornäbbad trädklättrare
 4214   Xiphocolaptes albicollis      White-throated Woodcreeper        Vitstrupig trädklättrare
 4215   Xiphocolaptes falcirostris    Moustached Woodcreeper            Caatingaträdklättrare
 4216   Xiphocolaptes major           Great Rufous Woodcreeper          Större trädklättrare
 4217   Dendrocolaptes certhia        Amazonian Barred-Woodcreeper      Vattrad trädklättrare
 4218   Dendrocolaptes sanctithomae   Northern Barred-Woodcreeper       Nordlig vattrad trädklättrare
 4219   Dendrocolaptes hoffmannsi     Hoffmanns's Woodcreeper           Låglandsträdklättrare
 4220   Dendrocolaptes picumnus       Black-banded Woodcreeper          Tvärbandad trädklättrare
 4221   Dendrocolaptes platyrostris   Planalto Woodcreeper              Planaltoträdklättrare
 4222   Dendroplex picus              Straight-billed Woodcreeper       Svärdnäbbsträdklättrare
 4223   Dendroplex kienerii               Zimmer's Woodcreeper          Varzeaträdklättrare
 4224   Xiphorhynchus obsoletus           Striped Woodcreeper           Strimmig trädklättrare
 4225   Xiphorhynchus ocellatus           Ocellated Woodcreeper         Droppträdklättrare
 4226   Xiphorhynchus spixii              Spix's Woodcreeper            Marajóträdklättrare
 4227   Xiphorhynchus pardalotus          Chestnut-rumped Woodcreeper   Guyanaträdklättrare
 4228   Xiphorhynchus guttatus            Buff-throated Woodcreeper     Gulstrupig trädklättrare
 4229   Xiphorhynchus susurrans           Cocoa Woodcreeper             Kakaoträdklättrare
 4230   Xiphorhynchus flavigaster         Ivory-billed Woodcreeper      Vitnäbbad trädklättrare
 4231   Xiphorhynchus lachrymosus         Black-striped Woodcreeper     Svartstrimmad trädklättrare
 4232   Xiphorhynchus erythropygius       Spotted Woodcreeper           Fläckträdklättrare
 4233   Xiphorhynchus triangularis        Olive-backed Woodcreeper      Olivryggad trädklättrare
 4234   Xiphorhynchus chunchotambo        Tschudi's Woodcreeper         Chunchotamboträdklättrare
 4235   Xiphorhynchus elegans             Elegant Woodcreeper           Selvasträdklättrare
 4236   Xiphorhynchus guttatoides         Lafresnaye's Woodcreeper      Lafresnayes trädklättrare
 4237   Lepidocolaptes leucogaster        White-striped Woodcreeper     Vitstrimmig trädklättrare
 4238   Lepidocolaptes souleyetii         Streak-headed Woodcreeper     Streckhuvad trädklättrare
 4239   Lepidocolaptes angustirostris     Narrow-billed Woodcreeper     Smalnäbbad trädklättrare
 4240   Lepidocolaptes affinis            Spot-crowned Woodcreeper      Fläckkronad trädklättrare
 4241   Lepidocolaptes lacrymiger         Montane Woodcreeper           Andinsk trädklättrare
 4242   Lepidocolaptes squamatus          Scaled Woodcreeper            Fjällig trädklättrare
 4243   Lepidocolaptes falcinellus        Scalloped Woodcreeper         Paranáträdklättrare
 4244   Xiphorhynchus fuscus              Lesser Woodcreeper            Mindre trädklättrare
 4245   Lepidocolaptes albolineatus       Lineated Woodcreeper          Streckig trädklättrare
 4246   Campylorhamphus pucherani         Greater Scythebill            Större skärnäbb
 4247   Campylorhamphus trochilirostris   Red-billed Scythebill         Rödnäbbad skärnäbb
 4248   Campylorhamphus falcularius       Black-billed Scythebill       Svartnäbbad skärnäbb
 4249   Campylorhamphus pusillus          Brown-billed Scythebill       Brunnäbbad skärnäbb
 4250   Campylorhamphus procurvoides      Curve-billed Scythebill       Skärnäbb
 4251                                     Furnariidae, Ugnsfåglar
 4252   Geobates poecilopterus            Campo Miner                   Campominerare
 4253   Geositta cunicularia              Common Miner                  Minerare
 4254   Geositta maritima                 Greyish Miner                 Gråminerare
 4255   Geositta peruviana                Coastal Miner                 Kustminerare
 4256   Geositta punensis          Puna Miner                     Punaminerare
 4257   Geositta saxicolina        Dark-winged Miner              Junínminerare
 4258   Geositta isabellina        Creamy-rumped Miner            Isabellaminerare
 4259   Geositta antarctica        Short-billed Miner             Eldslandsminerare
 4260   Geositta rufipennis        Rufous-banded Miner            Rostvingeminerare
 4261   Geositta crassirostris     Thick-billed Miner             Tjocknäbbad minerare
 4262   Geositta tenuirostris      Slender-billed Miner           Smalnäbbad minerare
 4263   Upucerthia certhioides     Chaco Earthcreeper             Chacomarkkrypare
 4264   Upucerthia harterti        Bolivian Earthcreeper          Boliviamarkkrypare
 4265   Upucerthia ruficaudus      Straight-billed Earthcreeper   Raknäbbad markkrypare
 4266   Upucerthia andaecola       Rock Earthcreeper              Klippmarkkrypare
 4267   Upucerthia albigula        White-throated Earthcreeper    Vitstrupig markkrypare
 4268   Upucerthia serrana         Striated Earthcreeper          Strimmig markkrypare
 4269   Upucerthia dumetaria       Scale-throated Earthcreeper    Fjällstrupig markkrypare
 4270   Upucerthia validirostris   Buff-breasted Earthcreeper     Långnäbbad markkrypare
 4271   Upucerthia jelskii         Plain-breasted Earthcreeper    Kroknäbbad markkrypare
 4272   Cinclodes fuscus           Bar-winged Cinclodes           Bandvingad cinclodes
 4273   Cinclodes excelsior        Stout-billed Cinclodes         Nordlig kungscinclodes
 4274   Cinclodes aricomae         Royal Cinclodes                Sydlig kungscinclodes
 4275   Cinclodes olrogi           Olrog's Cinclodes              Bäckcinclodes
 4276   Cinclodes comechingonus    Cordoba Cinclodes              Cordobacinclodes
 4277   Cinclodes pabsti           Long-tailed Cinclodes          Långstjärtad cinclodes
 4278   Cinclodes atacamensis      White-winged Cinclodes         Vitvingad cinclodes
 4279   Cinclodes palliatus        White-bellied Cinclodes        Vitbukad cinclodes
 4280   Cinclodes oustaleti        Grey-flanked Cinclodes         Gråsidig cinclodes
 4281   Cinclodes patagonicus      Dark-bellied Cinclodes         Mörkbukad cinclodes
 4282   Cinclodes nigrofumosus     Chilean Seaside Cinclodes      Sydlig strandconclodes
 4283   Cinclodes taczanowskii     Peruvian Seaside Cinclodes     Nordlig strandcinclodes
 4284   Cinclodes antarcticus      Blackish Cinclodes             Gråsvart cinclodes
 4285   Chilia melanura            Crag Chilia                    Chilia
 4286   Furnarius minor            Lesser Hornero                 Mindre hornero
 4287   Furnarius figulus          Band-tailed Hornero            Svartbandad hornero
 4288   Furnarius leucopus         Pale-legged Hornero            Ljusbent hornero
 4289   Furnarius cinnamomeus           Pacific Hornero               Tumbeshornero
 4290   Furnarius torridus              Bay Hornero                   Flodhornero
 4291   Furnarius rufus                 Rufous Hornero                Röd hornero
 4292   Furnarius cristatus             Crested Hornero               Tofshornero
 4293   Sylviorthorhynchus desmursii    Des Murs's Wiretail           Trådstjärt
 4294   Aphrastura spinicauda           Thorn-tailed Rayadito         Rayadito
 4295   Aphrastura masafuerae           Masafuera Rayadito            Masafuerarayadito
 4296   Leptasthenura fuliginiceps      Brown-capped Tit-Spinetail    Brun bränslesamlare
 4297   Leptasthenura yanacensis        Tawny Tit-Spinetail           Gyllenbrun bränslesamlare
 4298   Leptasthenura platensis         Tufted Tit-Spinetail          Tofsbränslesamlare
 4299   Leptasthenura aegithaloides     Plain-mantled Tit-Spinetail   Ljusryggad bränslesamlare
 4300   Leptasthenura setaria           Araucaria Tit-Spinetail       Araucariabränslesamlare
 4301   Leptasthenura striata           Streak-backed Tit-Spinetail   Strimryggad bränslesamlare
 4302   Leptasthenura striolata         Striolated Tit-Spinetail      Streckad bränslesamlare
 4303   Leptasthenura pileata           Rusty-crowned Tit-Spinetail   Rostkronad bränslesamlare
 4304   Leptasthenura xenothorax        White-browed Tit-Spinetail    Cuzcobränslesamlare
 4305   Leptasthenura andicola          Andean Tit-Spinetail          Andinsk bränslesamlare
 4306   Schizoeaca coryi                Ochre-browed Thistletail      Ockrabrynad spretstjärt
 4307   Schizoeaca perijana             Perijá Thistletail            Perijaspretstjärt
 4308   Schizoeaca fuliginosa           White-chinned Thistletail     Vitstrupig spretstjärt
 4309   Schizoeaca griseomurina         Mouse-colored Thistletail     Umbraspretstjärt
 4310   Schizoeaca palpebralis          Eye-ringed Thistletail        Junínspretstjärt
 4311   Schizoeaca vilcabambae          Vilcabamba Thistletail        Vilcabambaspretstjärt
 4312   Schizoeaca helleri              Puna Thistletail              Punaspretstjärt
 4313   Schizoeaca harterti             Black-throated Thistletail    Svartstrupig spretstjärt
 4314   Oreophylax moreirae             Itatiaia Thistletail          Itatiaiaspretstjärt
 4315   Schoeniophylax phryganophilus   Chotoy Spinetail              Vithakad bränslesamlare
 4316   Synallaxis ruficapilla          Rufous-capped Spinetail       Rostkronad bränslesamlare
 4317   Synallaxis frontalis            Sooty-fronted Spinetail       Sotpannad bränslesamlare
 4318   Synallaxis azarae               Azara's Spinetail             Azarabränslesamlare
 4319   Synallaxis albigularis          Dark-breasted Spinetail       Mörkbröstad bränslesamlare
 4320   Synallaxis albescens            Pale-breasted Spinetail       Blekbröstad bränslesamlare
 4321   Synallaxis spixi                Spix's Spinetail              Chiclibränslesamlare
 4322   Synallaxis hypospodia      Cinereous-breasted Spinetail   Gråbröstad bränslesamlare
 4323   Synallaxis infuscata       Pinto's Spinetail              Pernambucobränslesamlare
 4324   Synallaxis cinerea         Bahia Spinetail                Bahiabränslesamlare
 4325   Synallaxis brachyura       Slaty Spinetail                Skifferbränslesamlare
 4326   Synallaxis courseni        Apurímac Spinetail             Apurimacbränslesamlare
 4327   Synallaxis moesta          Dusky Spinetail                Mörk bränslesamlare
 4328   Synallaxis cabanisi        Cabanis' Spinetail             Flodbränslesamlare
 4329   Synallaxis macconnelli     McConnell's Spinetail          Guaduabränslesamlare
 4330   Synallaxis subpudica       Silvery-throated Spinetail     Bogotábränslesamlare
 4331   Synallaxis tithys          Blackish-headed Spinetail      Svarthuvad bränslesamlare
 4332   Synallaxis cinerascens     Grey-bellied Spinetail         Gråbukad bränslesamlare
 4333   Synallaxis maranonica      Maranon Spinetail              Maranjonbränslesamlare
 4334   Synallaxis propinqua       White-bellied Spinetail        Vitbukad bränslesamlare
 4335   Synallaxis gujanensis      Plain-crowned Spinetail        Gråkronad bränslesamlare
 4336   Synallaxis albilora        White-lored Spinetail          Vittyglad bränslesamlare
 4337   Synallaxis rutilans        Ruddy Spinetail                Rostbränslesamlare
 4338   Synallaxis cherriei        Chestnut-throated Spinetail    Kastanjetrupig bränslesamlare
 4339   Synallaxis unirufa         Rufous Spinetail               Röd bränslesamlare
 4340   Synallaxis castanea        Black-throated Spinetail       Svartstrupig bränslesamlare
 4341   Synallaxis fuscorufa       Rusty-headed Spinetail         Santa Martabränslesamlare
 4342   Synallaxis zimmeri         Russet-bellied Spinetail       Rostbukad bränslesamlare
 4343   Synallaxis erythrothorax   Rufous-breasted Spinetail      Yucatanbränslesamlare
 4344   Synallaxis cinnamomea      Stripe-breasted Spinetail      Streckbröstad bränslesamlare
 4345   Synallaxis stictothorax    Necklaced Spinetail            Fläckbröstad bränslesamlare
 4346   Synallaxis chinchipensis   Chinchipe Spinetail            Chinchipebränslesamlare
 4347   Synallaxis candei          White-whiskered Spinetail      Skäggbränslesamlare
 4348   Synallaxis kollari         Hoary-throated Spinetail       Gråstrupig bränslesamlare
 4349   Synallaxis scutatus        Ochre-cheeked Spinetail        Ockrakindad bränslesamlare
 4350   Gyalophylax hellmayri      Red-shouldered Spinetail       Rödskuldrad bränslesamlare
 4351   Hellmayrea gularis         White-browed Spinetail         Vitbrynad bränslesamlare
 4352   Acrobatornis fonsecai      Pink-legged Graveteiro         Graveteiro
 4353   Cranioleuca erythrops      Red-faced Spinetail            Rödmaskad bränslesamlare
 4354   Cranioleuca demissa        Tepui Spinetail                Tepuibränslesamlare
 4355   Cranioleuca antisiensis    Line-cheeked Spinetail      Ecuadorbränslesamlare
 4356   Cranioleuca henricae       Bolivian Spinetail          Boliviabränslesamlare
 4357   Cranioleuca baroni         Baron's Spinetail           Bergsbränslesamlare
 4358   Cranioleuca pallida        Pallid Spinetail            Blek bränslesamlare
 4359   Cranioleuca curtata        Ash-browed Spinetail        Gråbrynad bränslesamlare
 4360   Cranioleuca obsoleta       Olive Spinetail             Olivbränslesamlare
 4361   Cranioleuca hellmayri      Streak-capped Spinetail     Streckkronad bränslesamlare
 4362   Cranioleuca subcristata    Crested Spinetail           Venezuelabränslesamlare
 4363   Cranioleuca pyrrhophia     Stripe-crowned Spinetail    Strimkronad bränslesamlare
 4364   Cranioleuca marcapatae     Marcapata Spinetail         Maracapatabränslesamlare
 4365   Cranioleuca albiceps       Light-crowned Spinetail     Ljuskronad bränslesamlare
 4366   Cranioleuca semicinerea    Grey-headed Spinetail       Gråhuvad bränslesamlare
 4367   Cranioleuca albicapilla    Creamy-crested Spinetail    Gräddkronad bränslesamlare
 4368   Cranioleuca vulpina        Rusty-backed Spinetail      Rostryggad bränslesamlare
 4369   Cranioleuca vulpecula      Parker's Spinetail          Amazonbränslesamlare
 4370   Cranioleuca dissita        Coiba Spinetail             Coibabränslesamlare
 4371   Cranioleuca muelleri       Scaled Spinetail            Varzeabränslesamlare
 4372   Cranioleuca gutturata      Speckled Spinetail          Fläckig bränslesamlare
 4373   Cranioleuca sulphurifera   Sulphur-bearded Spinetail   Svavelstrupig bränslesamlare
 4374   Certhiaxis cinnamomeus     Yellow-chinned Spinetail    Gulstrupig bränslesamlare
 4375   Certhiaxis mustelinus      Red-and-white Spinetail     Rödvit bränslesamlare
 4376   Asthenes pyrrholeuca       Sharp-billed Canastero      Mindre canastero
 4377   Asthenes baeri             Short-billed Canastero      Kortnäbbad canastero
 4378   Asthenes pudibunda         Canyon Canastero            Kanjoncanastero
 4379   Asthenes ottonis           Rusty-fronted Canastero     Rostpannad canastero
 4380   Asthenes heterura          Maquis Canastero            Boliviacanastero
 4381   Asthenes modesta           Cordilleran Canastero       Bergscanastero
 4382   Asthenes cactorum          Cactus Canastero            Kaktuscanastero
 4383   Asthenes dorbignyi         Rusty-vented Canastero      Rostgumpad canastero
 4384   Asthenes huancavelicae     Pale-tailed Canastero       Ljusstjärtad canastero
 4385   Asthenes arequipae         Dark-winged Canastero       Mörkvingad canastero
 4386   Asthenes berlepschi        Berlepsch's Canastero       Illampucanastero
 4387   Asthenes steinbachi        Steinbach's Canastero       Kastanjecanastero
 4388   Asthenes humicola             Dusky-tailed Canastero        Mörkstjärtad canastero
 4389   Asthenes patagonica           Patagonian Canastero          Patagoncanastero
 4390   Asthenes humilis              Streak-throated Canastero     Streckbröstad canastero
 4391   Asthenes wyatti               Streak-backed Canastero       Nordlig canastero
 4392   Asthenes sclateri             Puna Canastero                Punacanastero
 4393   Asthenes anthoides            Austral Canastero             Magellancanastero
 4394   Asthenes urubambensis         Line-fronted Canastero        Urubambacanastero
 4395   Asthenes flammulata           Many-striped Canastero        Strimmig canastero
 4396   Asthenes virgata              Junín Canastero               Juníncanastero
 4397   Asthenes maculicauda          Scribble-tailed Canastero     Paramocanastero
 4398   Asthenes hudsoni              Hudson's Canastero            Pampascanastero
 4399   Asthenes luizae               Cipo Canastero                Cipócanastero
 4400   Thripophaga cherriei          Orinoco Softtail              Orinocomjukstjärt
 4401   Thripophaga macroura          Striated Softtail             Strimmjukstjärt
 4402   Thripophaga berlepschi        Russet-mantled Softtail       Perumjukstjärt
 4403   Thripophaga fusciceps         Plain Softtail                Ljusbrynad mjukstjärt
 4404   Siptornopsis hypochondriaca   Great Spinetail               Vitbröstad bränslesamlare
 4405   Phacellodomus rufifrons       Common Thornbird              Rödpannad törnfågel
 4406   Phacellodomus sibilatrix      Little Thornbird              Mindre törnfågel
 4407   Phacellodomus striaticeps     Streak-fronted Thornbird      Streckpannad törnfågel
 4408   Phacellodomus erythrophthalmusRed-eyed Thornbird            Rödögd törnfågel
 4409   Phacellodomus striaticollis   Freckle-breasted Thornbird    Fläckbröstad törnfågel
 4410   Phacellodomus maculipectus    Spot-breasted Thornbird       Gråögd törnfågel
 4411   Phacellodomus dorsalis        Chestnut-backed Thornbird     Kastanjeryggad törnfågel
 4412   Phacellodomus ruber           Greater Thornbird             Större törnfågel
 4413   Clibanornis dendrocolaptoides Canebrake Groundcreeper       Bambujordsmyg
 4414   Spartonoica maluroides        Bay-capped Wren-Spinetail     Träsksmyg
 4415   Phleocryptes melanops         Wren-like Rushbird            Sävsmyg
 4416   Limnornis curvirostris        Curve-billed Reedhaunter      Kroknäbbad vassmyg
 4417   Limnoctites rectirostris      Straight-billed Reedhaunter   Raknäbbad vassmyg
 4418   Anumbius annumbi              Firewood-gatherer             Kvistsamlare
 4419   Coryphistera alaudina         Lark-like Brushrunner         Lärkbusklöpare
 4420   Eremobius phoenicurus         Band-tailed Earthcreeper      Bandstjärtad jordkrypare
 4421   Siptornis striaticollis         Spectacled Prickletail           Glasögontaggstjärt
 4422   Metopothrix aurantiaca          Orange-fronted Plushcrown        Guldpanna
 4423   Xenerpestes minlosi             Double-banded Greytail           Dubbelbandad gråstjärt
 4424   Xenerpestes singularis          Equatorial Greytail              Ecuadorgråstjärt
 4425   Roraimia adusta                 Roraiman Barbtail                Roraimataggstjärt
 4426   Premnornis guttuligera          Rusty-winged Barbtail            Rostvingad taggstjärt
 4427   Premnoplex tatei                White-throated Barbtail          Vitstrupig taggstjärt
 4428   Margarornis rubiginosus         Ruddy Treerunner                 Rödbrun trädlöpare
 4429   Margarornis stellatus           Star-chested Treerunner          Stjärnträdlöpare
 4430   Margarornis squamiger           Pearled Treerunner               Pärlträdlöpare
 4431   Margarornis bellulus            Beautiful Treerunner             Praktträdlöpare
 4432   Premnoplex brunnescens          Spotted Barbtail                 Fläckig taggstjärt
 4433   Lochmias nematura               Sharp-tailed Streamcreeper       Bäcklöpare
 4434   Pseudoseisura unirufa           Gray-crested Cacholote           Gråtofsad cacholote
 4435   Pseudoseisura cristata          Caatinga Cacholote               Rödbrun cacholote
 4436   Pseudoseisura lophotes          Brown Cacholote                  Brun cacholote
 4437   Pseudoseisura gutturalis        White-throated Cacholote         Vitstrupig cacholote
 4438   Pseudocolaptes lawrencii        Buffy Tuftedcheek                Bandvingad ullkrage
 4439   Pseudocolaptes johnsoni         Pacific Tuftedcheek              Chocóullkrage
 4440   Pseudocolaptes boissonneautii   Streaked Tuftedcheek             Andinsk ullkrage
 4441   Berlepschia rikeri              Point-tailed Palmcreeper         Palmkrypare
 4442   Ancistrops strigilatus          Chestnut-winged Hookbill         Krumnäbb
 4443   Hyloctistes subulatus           Eastern Woodhaunter              Östlig skogssmyg
 4444   Hyloctistes virgatus            Western Woodhaunter              Västlig skogssmyg
 4445   Syndactyla guttulata            Guttulated Foliage-gleaner       Venezuelalövletare
 4446   Syndactyla subalaris            Lineated Foliage-gleaner         Höglandslövletare
 4447   Syndactyla rufosuperciliata     Buff-browed Foliage-gleaner      Brunbrynad lövletare
 4448   Anabacerthia variegaticeps      Scaly-throated Foliage-gleaner   Fjällstrupig lövletare
 4449   Anabacerthia striaticollis      Montane Foliage-gleaner          Bergslövletare
 4450   Anabacerthia amaurotis          White-browed Foliage-gleaner     Vitbrynad lövletare
 4451   Philydor ruficaudatum           Rufous-tailed Foliage-gleaner    Brunstjärtad lövletare
 4452   Philydor erythrocercum          Rufous-rumped Foliage-gleaner    Rostgumpad lövletare
 4453   Philydor ochrogaster            Ochre-bellied Foliage-gleaner    Ockrabukad lövletare
 4454   Philydor fuscipenne           Slaty-winged Foliage-gleaner       Mörkvingad lövletare
 4455   Philydor erythropterum        Chestnut-winged Foliage-gleaner    Gråryggad lövletare
 4456   Philydor lichtensteini        Ochre-breasted Foliage-gleaner     Ockrabröstad lövletare
 4457   Philydor rufum                Buff-fronted Foliage-gleaner       Gulpannad lövletare
 4458   Philydor atricapillus         Black-capped Foliage-gleaner       Svartkronad lövletare
 4459   Philydor novaesi              Alagoas Foliage-gleaner            Alagoaslövletare
 4460   Philydor pyrrhodes            Cinnamon-rumped Foliage-gleaner    Kanellövletare
 4461   Philydor dimidiatum           Planalto Foliage-gleaner           Planaltolövletare
 4462   Anabazenops fuscus            White-collared Foliage-gleaner     Vitnackad lövletare
 4463   Anabazenops dorsalis          Dusky-cheeked Foliage-gleaner      Guadualövletare
 4464   Simoxenops ucayalae           Peruvian Recurvebill               Perumejselnäbb
 4465   Simoxenops striatus           Bolivian Recurvebill               Boliviamejselnäbb
 4466   Cichlocolaptes leucophrus     Pale-browed Treehunter             Blekbrynad trädletare
 4467   Thripadectes ignobilis        Uniform Treehunter                 Enfärgad trädletare
 4468   Thripadectes rufobrunneus     Streak-breasted Treehunter         Costa Ricaträdletare
 4469   Thripadectes melanorhynchus   Black-billed Treehunter            Svartnäbbad trädletare
 4470   Thripadectes holostictus      Striped Treehunter                 Strimmig trädletare
 4471   Thripadectes virgaticeps      Streak-capped Treehunter           Streckhuvad trädletare
 4472   Thripadectes scrutator        Peruvian Treehunter                Peruträdletare
 4473   Thripadectes flammulatus      Flammulated Treehunter             Gulflammig trädletare
 4474   Syndactyla ruficollis         Rufous-necked Foliage-gleaner      Rostnackad lövletare
 4475   Automolus ochrolaemus         Buff-throated Foliage-gleaner      Gulstrupig lövletare
 4476   Automolus infuscatus          Olive-backed Foliage-gleaner       Olivlövletare
 4477   Automolus leucophthalmus      White-eyed Foliage-gleaner         Vitögd lövletare
 4478   Automolus melanopezus         Brown-rumped Foliage-gleaner       Rödögd lövletare
 4479   Automolus roraimae            White-throated Foliage-gleaner     Vitstrupig lövletare
 4480   Automolus rubiginosus         Ruddy Foliage-gleaner              Rödbrun lövletare
 4481   Automolus rufipileatus        Chestnut-crowned Foliage-gleaner   Gulögd lövletare
 4482   Hylocryptus rectirostris      Henna-capped Foliage-gleaner       Kroknäbbad lövletare
 4483   Hylocryptus erythrocephalus   Henna-hooded Foliage-gleaner       Hennahövdad lövletare
 4484   Sclerurus mexicanus           Tawny-throated Leaftosser          Rosthalsad lövkastare
 4485   Sclerurus rufigularis         Short-billed Leaftosser            Kortnäbbad lövkastare
 4486   Sclerurus albigularis         Grey-throated Leaftosser           Gråstrupig lövkastare
 4487   Sclerurus caudacutus          Black-tailed Leaftosser      Svartstjärtad lövkastare
 4488   Sclerurus scansor             Rufous-breasted Leaftosser   Rödbröstad lövkastare
 4489   Sclerurus guatemalensis       Scaly-throated Leaftosser    Fjällstrupig lövkastare
 4490   Heliobletus contaminatus      Sharp-billed Treehunter      Spetsnäbbad trädletare
 4491   Xenops milleri                Rufous-tailed Xenops         Rödstjärtad xenops
 4492   Xenops tenuirostris           Slender-billed Xenops        Smalnäbbad xenops
 4493   Xenops minutus                Plain Xenops                 Grå xenops
 4494   Xenops rutilans               Streaked Xenops              Strimmig xenops
 4495   Megaxenops parnaguae          Great Xenops                 Större xenops
 4496   Pygarrhichas albogularis      White-throated Treerunner    Vitstrupig trädlöpare
 4497                                 Formicariidae, Myrfåglar
 4498   Cymbilaimus lineatus          Fasciated Antshrike          Bandmyrtörnskata
 4499   Cymbilaimus sanctaemariae     Bamboo Antshrike             Bambumyrtörnskata
 4500   Hypoedaleus guttatus          Spot-backed Antshrike        Fläckryggad myrtörnskata
 4501   Batara cinerea                Giant Antshrike              Jättemyrtörnskata
 4502   Mackenziaena severa           Tufted Antshrike             Tofsmyrtörnskata
 4503   Mackenziaena leachii          Large-tailed Antshrike       Bredstjärtad myrtörnskata
 4504   Frederickena viridis          Black-throated Antshrike     Svartbröstad myrtörnskata
 4505   Frederickena unduligera       Undulated Antshrike          Vattrad myrtörnskata
 4506   Taraba major                  Great Antshrike              Större myrtörnskata
 4507   Sakesphorus canadensis        Black-crested Antshrike      Svarttofsad myrtörnskata
 4508   Sakesphorus cristatus         Silvery-cheeked Antshrike    Silverkindad myrtörnskata
 4509   Sakesphorus bernardi          Collared Antshrike           Vitnackad myrtörnskata
 4510   Sakesphorus melanonotus       Black-backed Antshrike       Svartryggad myrtörnskata
 4511   Sakesphorus melanothorax      Band-tailed Antshrike        Vitspetsad myrtörnskata
 4512   Sakesphorus luctuosus         Glossy Antshrike             Glansmyrtörnskata
 4513   Biatas nigropectus            White-bearded Antshrike      Hättmyrtörnskata
 4514   Thamnophilus doliatus         Barred Antshrike             Bandad myrtörnskata
 4515   Thamnophilus zarumae          Chapman's Antshrike          Zarumamyrtörnskata
 4516   Thamnophilus multistriatus    Bar-crested Antshrike        Mångstrimmad myrtörnskata
 4517   Thamnophilus palliatus        Chestnut-backed Antshrike    Brunryggad myrtörnskata
 4518   Thamnophilus tenuepunctatus   Lined Antshrike              Streckad myrtörnskata
 4519   Thamnophilus bridgesi         Black-hooded Antshrike       Pärlvingad myrtörnskata
 4520   Thamnophilus nigriceps        Black Antshrike              Kolombiamyrtörnskata
 4521   Thamnophilus praecox          Cocha Antshrike              Cochamyrtörnskata
 4522   Thamnophilus nigrocinereus    Blackish-gray Antshrike      Gråsvart myrtörnskata
 4523   Thamnophilus cryptoleucus     Castelnau's Antshrike        Varzeamyrtörnskata
 4524   Thamnophilus aethiops         White-shouldered Antshrike   Vitskuldrad myrtörnskata
 4525   Thamnophilus unicolor         Uniform Antshrike            Enfärgad myrtörnskata
 4526   Thamnophilus schistaceus      Plain-winged Antshrike       Svartkronad myrtörnskata
 4527   Thamnophilus murinus          Mouse-colored Antshrike      Musgrå myrtörnskata
 4528   Thamnophilus aroyae           Upland Antshrike             Höglandsmyrtörnskata
 4529   Thamnophilus punctatus        Northern Slaty-Antshrike     Nordlig skiffermyrtörnskata
 4530   Thamnophilus leucogaster      Marañón Slaty-Antshrike      Maranjonmyrtörnskata
