                             Struthionidae, Strutsar
Penelope purpurascens    Crested Guan                Tofsguan
Penelope jacucaca        White-browed Guan           Vitbrynad guan
Penelope ochrogaster     Chestnut-bellied Guan       Rostbukad guan
Penelope pileata         White-crested Guan          Vitkronad guan
Pipile pipile            Trinidad Piping-Guan        Trinidadpipguan
Pipile cumanensis        Blue-throated Piping-Guan   Blåstrupig pipguan
Pipile cujubi            Red-throated Piping-Guan    Rödstrupig pipguan
Pipile jacutinga         Black-fronted Piping-Guan   Svartpannad pipguan
Aburria aburri           Wattled Guan                Flikguan
Chamaepetes unicolor     Black Guan                  Svart guan
Chamaepetes goudotii     Sickle-winged Guan          Blåmaskad guan
Penelopina nigra         Highland Guan               Bergsguan
Oreophasis derbianus     Horned Guan                 Hornguan
Nothocrax urumutum       Nocturnal Curassow          Natthocko
Mitu tomentosum          Crestless Curassow          Släthuvad hocko
Mitu salvini             Salvin's Curassow           Salvins hocko
Mitu tuberosum               Razor-billed Curassow        Knivhocko
Mitu mitu                    Alagoas Curassow             Alagoashocko
Pauxi pauxi                  Northern Helmeted Curassow   Nordlig hjälmhocko
Pauxi unicornis              Southern Helmeted Curassow   Sydlig hjälmhocko
Crax rubra                   Great Curassow               Större hocko
Crax alberti                 Blue-billed Curassow         Blånäbbad hocko
Crax daubentoni              Yellow-knobbed Curassow      Gulknölshocko
Crax alector                 Black Curassow               Svart hocko
Crax globulosa               Wattled Curassow             Gulflikig hocko
Crax fasciolata              Bare-faced Curassow          Gulnäbbad hocko
Crax blumenbachii            Red-billed Curassow          Rödnäbbad hocko
                             Meleagrididae, Kalkoner
Meleagris gallopavo          Wild Turkey                  Kalkon
Meleagris ocellata           Ocellated Turkey             Arguskalkon
                             Tetraonidae, Skogshöns
Falcipennis falcipennis      Siberian Grouse              Amurjärpe
Falcipennis canadensis       Spruce Grouse                Granjärpe
Dendragapus obscurus         Blue Grouse                  Blåjärpe
Lagopus lagopus              Willow Ptarmigan             Dalripa
Lagopus muta                 Rock Ptarmigan               Fjällripa
Lagopus leucura              White-tailed Ptarmigan       Vitstjärtad ripa
Tetrao mlokosiewiczi         Caucasian Black Grouse       Kaukasisk orre
Tetrao tetrix                Black Grouse                 Orre
Tetrao parvirostris          Black-billed Capercaillie    Svartnäbbad tjäder
Tetrao urogallus             Western Capercaillie         Tjäder
